,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6489,8.612603305785123e-07,0.69,500,,,,,,,,,,,,
1,,,1.0,726,0.6015027165412903,0.5598296407049976,0.6474326782964083,0.059933507053643635,28.4151,391.657,24.494,,,,,
2,0.6038,8.225206611570248e-07,1.38,1000,,,,,,,,,,,,
3,,,2.0,1452,0.5093870162963867,0.7009889770268878,0.7405534147299487,0.1585946625932249,27.5978,403.256,25.219,,,,,
4,0.5345,7.837809917355371e-07,2.07,1500,,,,,,,,,,,,
5,0.5166,7.450413223140496e-07,2.75,2000,,,,,,,,,,,,
6,,,3.0,2178,0.5011465549468994,0.7065293887658022,0.7467456212817013,0.1617395992452152,28.6554,388.373,24.289,,,,,
7,0.5098,7.063016528925619e-07,3.44,2500,,,,,,,,,,,,
8,,,4.0,2904,0.4952314496040344,0.7123747113685326,0.7509916016970705,0.16632222122382964,28.9955,383.819,24.004,,,,,
9,0.5002,6.675619834710743e-07,4.13,3000,,,,,,,,,,,,
10,0.4966,6.288223140495868e-07,4.82,3500,,,,,,,,,,,,
11,,,5.0,3630,0.4917716681957245,0.7133378259291898,0.7522908317941681,0.1725222391948962,28.5951,389.193,24.34,,,,,
12,0.4887,5.900826446280991e-07,5.51,4000,,,,,,,,,,,,
13,,,6.0,4356,0.48604658246040344,0.7187998806109605,0.7573083659698325,0.18141791715338304,27.9055,398.81,24.941,,,,,
14,0.4887,5.513429752066116e-07,6.2,4500,,,,,,,,,,,,
15,0.484,5.126033057851239e-07,6.89,5000,,,,,,,,,,,,
16,,,7.0,5082,0.48552724719047546,0.7187003818546852,0.7581965050553885,0.1872585137927936,27.2012,409.136,25.587,,,,,
17,0.4789,4.738636363636363e-07,7.58,5500,,,,,,,,,,,,
18,,,8.0,5808,0.4814988374710083,0.7217518936911906,0.7607884868949977,0.18968460778147184,27.2278,408.737,25.562,,,,,
19,0.4718,4.3512396694214875e-07,8.26,6000,,,,,,,,,,,,
20,0.475,3.963842975206612e-07,8.95,6500,,,,,,,,,,,,
21,,,9.0,6534,0.4793371260166168,0.7208987226877491,0.7603539004939938,0.1904933057776979,27.0805,410.961,25.701,,,,,
22,0.4698,3.5764462809917355e-07,9.64,7000,,,,,,,,,,,,
23,,,10.0,7260,0.4796588122844696,0.7241786191887144,0.7629747378959008,0.19498607242339833,27.1606,409.749,25.625,,,,,
24,0.4694,3.1890495867768593e-07,10.33,7500,,,,,,,,,,,,
25,,,11.0,7986,0.4796834886074066,0.7234484481194705,0.7625514460702257,0.1934585317638602,27.3997,406.173,25.402,,,,,
26,0.4662,2.801652892561983e-07,11.02,8000,,,,,,,,,,,,
27,0.4622,2.4142561983471074e-07,11.71,8500,,,,,,,,,,,,
28,,,12.0,8712,0.47884371876716614,0.7246134121771893,0.7631832354641364,0.1957049150867104,27.1441,409.998,25.641,,,,,
29,0.4624,2.0268595041322314e-07,12.4,9000,,,,,,,,,,,,
30,,,13.0,9438,0.47829538583755493,0.7244160689419615,0.7633494237912343,0.1945367957588283,27.2727,408.064,25.52,,,,,
31,0.4614,1.6394628099173552e-07,13.09,9500,,,,,,,,,,,,
32,0.4587,1.2520661157024792e-07,13.77,10000,,,,,,,,,,,,
33,,,14.0,10164,0.47776123881340027,0.7238731394309157,0.7629452934871908,0.1935483870967742,27.7057,401.686,25.121,,,,,
34,0.4641,8.646694214876032e-08,14.46,10500,,,,,,,,,,,,
35,,,15.0,10890,0.47720104455947876,0.7245004012577126,0.7635438485566542,0.19489621709048432,28.0267,397.086,24.833,,,,,
36,0.4558,4.772727272727273e-08,15.15,11000,,,,,,,,,,,,
37,0.4608,8.987603305785124e-09,15.84,11500,,,,,,,,,,,,
38,,,16.0,11616,0.47729238867759705,0.723987375065755,0.7630592665895387,0.19417737442717226,27.5379,404.134,25.274,,,,,
39,,,16.0,11616,,,,,,,,2111.5381,87.974,5.501,1.221953566113792e+16,0.49218077304934665
